id,title,location,sub_category,avatar,description,details,provider,distance,ages,price,campus,camp_type,topics,category,relevance,affordability
625,Seattle Cucina,Multiple Locations,Cooking,https://images.activityhero.com/provider_photo/144942/tile/c4f583ee-4373-442e-9708-372069b850fe.png,"Hands-on and unique cooking classes for people of all ages and experience levels! We offer family friendly classes, kids classes, and adult classes. These…read more >",https://www.activityhero.com/biz/seattle-cucina,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",94.1,"5, 65",53,m,STEM,"[['age', 46.46], ['offer', 18.69], ['level', 15.66], ['beginner', 4.55], ['inspire', 4.04], ['foundation', 2.53], ['garden', 2.02], ['daily', 2.02], ['elite', 2.02], ['gain', 2.02]]",Math & Logic,37.29,16.63
626,Talentz (DBA ALOHA),Multiple Locations,Creative Writing Academic Writing Reading,https://images.activityhero.com/provider_photo/142204/tile/a2e92524-af4d-40c4-8653-bc7ed51e30ce.png,Inside your child lies an unrealized capacity for learning. Our mission is to unleash this potential so that your child can get ahead – and stay ahead –…read more >,https://www.activityhero.com/biz/talentz-dba-aloha,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",10,",66",40,m,STEM,"[['child', 26.13], ['make', 23.62], ['life', 15.08], ['strive', 9.05], ['potential', 6.03], ['tool', 5.53], ['prepare', 5.03], ['unique', 4.02], ['speak', 3.02], ['tutor', 2.51]]",Computer Science,84.17,42.4
627,Shoreline Golf Links,Multiple Locations,Best of ActivityHero 2016 Play/Outdoor Sports Golf,https://images.activityhero.com/provider_photo/95560/tile/6989a579-918e-4c61-aa5e-5de73f445134.jpg,"All classes are taught by golf professional Roy Day, PGA. Roy has been awarded US Kids Top 50 Junior Instructors 2006, 2007, 2008. Roy has been awarded US…read more >",https://www.activityhero.com/biz/1895-shoreline-golf-links-mountain-view-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",15.9,"5,66",44,m,STEM,"[['teach', 37.89], ['professional', 13.68], ['teacher', 10.53], ['instruction', 10.0], ['run', 6.84], ['coach', 5.26], ['parent', 4.21], ['background', 4.21], ['basic', 3.68], ['video', 3.68]]",Computer Science,79.69,49.44
628,Art And Soul,Multiple Locations,Yoga Cooking Visual Arts,https://images.activityhero.com/provider_photo/94031/tile/05974eac-2e5a-4480-8681-ee9f3afc60aa.jpg,Our acclaimed programs strive to help students find their own voice & confidence.With a uniquely low student-adult ratio and highly experienced professional…read more >,https://www.activityhero.com/biz/art-and-soul,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",26.9,"5, 65",36,m,Arts,"[['music', 38.76], ['lesson', 17.7], ['rock', 8.13], ['group', 6.7], ['private', 6.7], ['piano', 5.74], ['movement', 5.26], ['voice', 4.78], ['give', 3.35], ['act', 2.87]]",Arts and Design,63.76,59.69
629,Chess King,Multiple Locations,Chess Online Course Academics,https://images.activityhero.com/provider_photo/6283/tile/children-chess.jpg,Do you wonder how to get kids excited about chess?  This is our specialty.  Children in our program will reap all the many benefits of chess participation…read more >,https://www.activityhero.com/biz/19698-chess-king-palo-alto-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",27.6,",66",148,"m,f",Sports,"[['skill', 32.8], ['develop', 18.52], ['creativity', 14.81], ['social', 7.94], ['chess', 7.94], ['approach', 4.76], ['thinking', 3.7], ['global', 3.7], ['problem', 3.17], ['passion', 2.65]]",Personal Development,92.42,58.09
630,Camp Super Duper,Multiple Locations,Flexible Booking ActivityHero Business Grant 2019 Best of ActivityHero 2019 Sports Science Cooking,https://images.activityhero.com/provider_photo/107252/tile/ff580169-3337-48c0-af5a-8de5a73acd9d.jpg,"Camp Super Duper began 10 short years ago as, what was then called Super Duper Arts Camp.  It began in one room, with 10 kids and 2 Super Duper folks with a…read more >",https://www.activityhero.com/biz/camp-super-duper,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",8,"12,67",2027,m,Arts,"[['dance', 36.9], ['training', 12.83], ['ballet', 9.63], ['open', 8.56], ['space', 8.02], ['meet', 5.88], ['natural', 5.35], ['toddler', 4.81], ['joy', 4.81], ['west', 3.21]]",Arts and Design,74.29,94.87
631,American Dance Training Camps,Multiple Locations,Drama/Theater Dance Performing Arts,https://images.activityhero.com/provider_photo/16077/tile/41b900bb-6592-45bd-a0c1-545021b42356.,"Welcome to ADTC - the ULTIMATE overnight dance camp!
We believe you have to do what you love. And we believe the world needs strong & inspired girls like…read more >",https://www.activityhero.com/biz/22275-american-school-of-dance-and-training-camp-olympic-valley-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",13.9,"5,66",53,f,Arts,"[['dance', 36.9], ['training', 12.83], ['ballet', 9.63], ['open', 8.56], ['space', 8.02], ['meet', 5.88], ['natural', 5.35], ['toddler', 4.81], ['joy', 4.81], ['west', 3.21]]",Arts and Design,52.88,47.19
632,Swann School of Protocol,Multiple Locations,Best of ActivityHero 2019 Mindfulness Online Course Free Activities,https://images.activityhero.com/provider_photo/111728/tile/938d0f72-e547-401e-b486-6c1c7e3c886e.jpg,"Founded by Elaine Swann, one of the leading and most nationally recognized lifestyle and etiquette experts in the USA, the Swann School of Protocol is  a…read more >",https://www.activityhero.com/biz/swann-school-of-protocol,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",24.9,"5,73",40,"m,f",Arts,"[['mission', 39.26], ['theatre', 9.82], ['promote', 9.2], ['performance', 7.36], ['gymnastic', 7.36], ['healthy', 6.75], ['offer', 6.13], ['training', 4.91], ['lead', 4.91], ['chef', 4.29]]",Arts and Design,41.38,39.36
633,"Bottom Of The Box, LLC","Online - Palo Alto, CA",Public Speaking College Preparation/Counseling Leadership,https://images.activityhero.com/provider_photo/143859/tile/61ef3e51-7bec-4568-94a4-4f3e8316a767.jpg,"Our core premise is that we are all resilient.  It is in each of us from day one. Sometimes we lose touch with our resilience, but it never goes away. It…read more >",https://www.activityhero.com/biz/bottom-of-the-box-llc,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",25.6,"5,65",44,"m,f",Sports,"[['adult', 27.78], ['family', 26.11], ['martial_art', 15.0], ['large', 6.67], ['self_defense', 5.56], ['part', 5.56], ['passion', 3.33], ['baby', 3.33], ['core', 3.33], ['mountain', 3.33]]",Personal Development,48.83,41.11
634,Vinings School of Art,Multiple Locations,Online Course Spanish Tutoring,https://images.activityhero.com/provider_photo/110889/tile/fb019e9f-f3ef-4caf-89d8-ea65ebdaaa12.JPG,"The Vinings School of ART has offered these types of classes for more than 13 years!-FINE ARTS (draw, paint, sculpture, clay) -SPANISH LANGUAGE Arts   /…read more >",https://www.activityhero.com/biz/47870-vinings-school-of-art-smyrna-ga,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",26,"5,65",36,"m,f",Arts,"[['art', 53.8], ['studio', 14.85], ['creative', 9.24], ['artist', 7.92], ['paint', 3.3], ['draw', 2.97], ['learner', 2.64], ['fine', 2.31], ['wellness', 1.65], ['technical', 1.32]]",Arts and Design,67.35,71.92
635,Top Gun Batting Cages,Multiple Locations,Sports Baseball Softball,https://images.activityhero.com/provider_photo/111128/tile/05f32d89-067c-4ee1-b915-7acf94a4f275.jpg,Top Gun Batting Cages is a Veteran-Owned Small Business dedicated to providing Central Maryland with the very best indoor baseball/softball training…read more >,https://www.activityhero.com/biz/top-gun-baseball-academy,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",28.2,"5,65",148,"m,f",Sports,"[['love', 22.54], ['adventure', 19.01], ['camper', 11.97], ['outdoor', 10.56], ['dedicate', 8.45], ['american', 7.75], ['area', 7.04], ['mobile', 4.93], ['learn', 4.23], ['animal', 3.52]]",Personal Development,69.53,68.09
636,"Challenge Island - Cherokee, Forsyth & Milton",Multiple Locations,Social Skills Business Engineering,https://images.activityhero.com/provider_photo/130706/tile/ae05c1e7-aab8-43fa-8546-f8784669b7a2.jpg,"Challenge Island offers a wide array of exhilarating, collaborative STEMtastic programming for kids ages 4 to 14+ (including senior adults). Our…read more >",https://www.activityhero.com/biz/challenge-island-cherokee-forsyth-milton,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",32.1,"5,65",4027,"m,f",STEM,"[['educational', 21.05], ['provide', 15.79], ['engineering', 11.84], ['science_technology', 9.87], ['international', 8.55], ['challenge', 8.55], ['steam', 7.89], ['service', 5.92], ['tutoring', 5.26], ['people', 5.26]]",Computer Science,43.9,98.96
637,AIClub,Multiple Locations,Robotics Programming Science & Technology,https://images.activityhero.com/provider_photo/121492/tile/e3da3d92-1061-47f5-8ad3-aac5fb541853.jpg,"What is AI?Artificial Intelligence is how computers learn data patterns and build models to do intelligent tasks. Google search, auto-correct, speech…read more >",https://www.activityhero.com/biz/aiclub,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",48.4,"5, 66",6027,"m,f",STEM,"[['student', 41.94], ['academic', 12.9], ['debate', 7.74], ['support', 7.1], ['speech', 6.45], ['modern', 5.81], ['public', 5.81], ['offer', 4.52], ['week_long', 3.87], ['impact', 3.87]]",Computer Science,44.42,68.8
638,Aimee Art Productions,"Online - Palo Alto, CA",Music Theory Music Performing Arts,https://images.activityhero.com/provider_photo/144519/tile/6cf3185c-5096-4719-9279-006c46f67cee.jpg,"Our company is comprised of teaching artists who are passionate about learning and arts, and who strive to bring quality arts instruction to a variety of…read more >",https://www.activityhero.com/biz/aimee-art-productions-73253,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",63.3,"5, 66",169,"m,f",Arts,"[['art', 53.8], ['studio', 14.85], ['creative', 9.24], ['artist', 7.92], ['paint', 3.3], ['draw', 2.97], ['learner', 2.64], ['fine', 2.31], ['wellness', 1.65], ['technical', 1.32]]",Arts and Design,70.27,66.85
639,Tandez Academy of Martial Arts,Multiple Locations,Martial Arts,https://images.activityhero.com/provider_photo/145568/tile/69a510ee-022f-4ffe-84f5-5db6cd2067ea.jpg,"Tandez Academy has been the leader in street self-defense training in the San Francisco Bay Area. We offer group classes, personal training and seminars for…read more >",https://www.activityhero.com/biz/tandez-academy-of-martial-arts-71264,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",67.3,",67",29,m,STEM,"[['student', 41.94], ['academic', 12.9], ['debate', 7.74], ['support', 7.1], ['speech', 6.45], ['modern', 5.81], ['public', 5.81], ['offer', 4.52], ['week_long', 3.87], ['impact', 3.87]]",Computer Science,96.6,98.26
640,The Paintbrush,Multiple Locations,Drawing and Painting Yoga Visual Arts,https://images.activityhero.com/provider_photo/110287/tile/aa09740b-4969-42ca-bc68-ddfb9c6a6004.jpg,"At The Paintbrush, kids do more than just paint! At The Paintbrush, kids ages 1-12 ages learn about artists through hands-on artist-inspired projects…read more >",https://www.activityhero.com/biz/8013-the-paintbrush-chicago-il,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",63.3,"5,67",129,m,Arts,"[['art', 53.8], ['studio', 14.85], ['creative', 9.24], ['artist', 7.92], ['paint', 3.3], ['draw', 2.97], ['learner', 2.64], ['fine', 2.31], ['wellness', 1.65], ['technical', 1.32]]",Arts and Design,85.21,42.1
641,"Funky Divas & Dudes, LLC",Multiple Locations,Hip Hop Performing Arts Dance,https://images.activityhero.com/provider_photo/145702/tile/57d21f7c-9db7-413c-81e1-8c0147691730.jpg,Funky Divas & Dudes have created a magical world where children can let their personalities shine! Founded in 2002 by two friends with a passion for…read more >,https://www.activityhero.com/biz/funky-divas-dudes-llc,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",75,"5, 66",74,f,STEM,"[['create', 30.54], ['online', 19.76], ['world', 13.77], ['live', 9.58], ['weekly', 5.39], ['maker', 4.79], ['leader', 4.79], ['curiosity', 4.19], ['free', 3.59], ['culture', 3.59]]",Math & Logic,48.52,30.17
642,Wolf Camp & School of Natural Science,Multiple Locations,Gardening Environmental Animals,https://images.activityhero.com/provider_photo/145538/tile/edc66ba4-a6de-4b93-a9ab-70bf1a110161.jpg,"We are an earth skills educational camp offering physical and virtual camps and classes for kids, youth, adults and families during the summer and…read more >",https://www.activityhero.com/biz/3400-wolf-camp-and-the-wolf-college-puyallup-wa,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",93.1,",67",139,f,Sports,"[['summer', 43.31], ['camp', 37.58], ['break', 4.78], ['baseball', 4.14], ['spring', 3.18], ['california', 2.23], ['holiday', 1.27], ['enrich', 1.27], ['winter', 1.27], ['custom', 0.96]]",Personal Development,41.41,71.49
643,Action Karate,Multiple Locations,Fitness Martial Arts Free Activities,https://images.activityhero.com/provider_photo/145313/tile/805c6226-ae6d-4bc5-9fb6-c82a71501258.jpg,"You might naturally associate martial arts with Hollywood stunts and kicks and punches, but the self-defense aspect of martial arts is just part of it.…read more >",https://www.activityhero.com/biz/action-karate-73745,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",9,"12,68",349,m,Sports,"[['adult', 27.78], ['family', 26.11], ['martial_art', 15.0], ['large', 6.67], ['self_defense', 5.56], ['part', 5.56], ['passion', 3.33], ['baby', 3.33], ['core', 3.33], ['mountain', 3.33]]",Personal Development,68.58,82.3
644,Expression8 Art Gallery,Multiple Locations,Crafts Drawing and Painting Visual Arts,https://images.activityhero.com/provider_photo/109460/tile/e46aa656-4bb6-4120-a90d-7071e9e2a292.JPG,"Fine Art Institute where Fun, Creativity,  and learning happens all at one place. We do have summer camps for kids and Art classes through out the…read more >",https://www.activityhero.com/biz/19217-prashanti-art-inc-fremont-ca,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",14.9,"5,67",569,m,Arts,"[['art', 53.8], ['studio', 14.85], ['creative', 9.24], ['artist', 7.92], ['paint', 3.3], ['draw', 2.97], ['learner', 2.64], ['fine', 2.31], ['wellness', 1.65], ['technical', 1.32]]",Arts and Design,88.21,37.76
645,Chance Theatre,Multiple Locations,Social Skills Autism Drama/Theater,https://images.activityhero.com/provider_photo/114827/tile/02882573-a9d2-407e-90f5-7c4db8cf46a4.jpg,"Chance Theatre is located in Anaheim, California and is offering summer camps for kids age 7-12 years old.  Our programs are designed to enrich and…read more >",https://www.activityhero.com/biz/chance-theatre,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",25.9,"5,74",3028,m,Sports,"[['summer', 43.31], ['camp', 37.58], ['break', 4.78], ['baseball', 4.14], ['spring', 3.18], ['california', 2.23], ['holiday', 1.27], ['enrich', 1.27], ['winter', 1.27], ['custom', 0.96]]",Personal Development,69.06,27.68
646,Rubik's Cube Teaching,Multiple Locations,Gaming Sports Math,https://images.activityhero.com/provider_photo/145879/tile/4b8413e3-e514-44a1-b122-51ad31630b99.jpg,"I am a 6th grade student that teaches students of all ages how to solve puzzles, including the Rubik's cube, 2x2, 3x3, 4x4, 5x5, pyraminx, and megaminx.10…read more >",https://www.activityhero.com/biz/rubik-s-cube-teaching-74047,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",26.6,"5,66",219,m,STEM,"[['teach', 37.89], ['professional', 13.68], ['teacher', 10.53], ['instruction', 10.0], ['run', 6.84], ['coach', 5.26], ['parent', 4.21], ['background', 4.21], ['basic', 3.68], ['video', 3.68]]",Computer Science,37.98,21.87
647,"Fun Chefs, LLC",Multiple Locations,Online Course Birthday Parties Cooking,https://images.activityhero.com/provider_photo/145877/tile/3b5f8da6-c560-47d6-8d65-a2179c6c613f.jpg,Fun Chefs is a company geared toward exploring and practicing the culinary arts for today's busy and active families. Children's classes can be held in a…read more >,https://www.activityhero.com/biz/fun-chefs-llc,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",27,"5,66",54,"m,f",Sports,"[['adult', 27.78], ['family', 26.11], ['martial_art', 15.0], ['large', 6.67], ['self_defense', 5.56], ['part', 5.56], ['passion', 3.33], ['baby', 3.33], ['core', 3.33], ['mountain', 3.33]]",Personal Development,42.33,6.51
648,Total Learning Education,Multiple Locations,Academics Math Language,https://images.activityhero.com/provider_photo/145750/tile/680d1079-0a75-4db1-9c1e-0fcbcece7f0c.JPG,Total Learning Education has been helping students from Walnut Valley Unified School District and neighboring school districts for over a decade.  We…read more >,https://www.activityhero.com/biz/total-learning-education,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",29.2,"5,66",41,m,STEM,"[['learn', 54.17], ['code', 22.69], ['interactive', 7.87], ['goal', 3.24], ['peninsula', 2.31], ['concept', 2.31], ['engage', 1.85], ['curious', 1.85], ['balance', 1.85], ['snapology', 1.85]]",Computer Science,87.22,89.49
649,Waiting For The Weekends,Multiple Locations,Engineering Science & Technology Crafts,https://images.activityhero.com/provider_photo/146024/tile/1311ecd3-2e69-465d-93ff-3dabfda59376.jpg,"During this crazy time, it can be hard for busy parents to keep up with everything. With everyone at home, things can get quite hectic. We're here to help…read more >",https://www.activityhero.com/biz/waiting-for-the-weekends,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",33.1,"5,66",45,f,STEM,"[['kid', 47.29], ['tech', 9.36], ['technology', 8.87], ['teen', 8.37], ['parent', 8.37], ['robotic', 6.4], ['call', 3.45], ['business', 2.96], ['matter', 2.46], ['unique', 2.46]]",Math & Logic,83.04,26.07
650,The Daydreamer's Academy,Multiple Locations,Creative Writing Photography and Video Performing Arts,https://images.activityhero.com/provider_photo/145539/tile/0a8dda3c-1037-4f37-960f-bb79a7f158c9.JPG,THE DAYDREAMER'S ACADEMY is an innovative collective dedicated to bringing online project based arts education to kids around the globe.  By linking…read more >,https://www.activityhero.com/biz/the-daydreamer-s-academy,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",49.4,"5, 67",37,"m,f",STEM,"[['base', 30.29], ['program', 21.14], ['project', 13.71], ['yoga', 9.14], ['lead', 5.71], ['innovative', 4.57], ['nature', 4.57], ['develop', 4.0], ['teach', 4.0], ['workshop', 2.86]]",Computer Science,42.22,58.39
651,STEM to the Future,Multiple Locations,Digital Media Biology Science & Technology,https://images.activityhero.com/provider_photo/105911/tile/828689ac-a474-4452-b160-93e0d8bdf3d3.png,Our mission is to create an extended learning experience for South LA students in grades K-5 that uses STEM to develop 21st century skills such as…read more >,https://www.activityhero.com/biz/stem-to-the-future,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",64.3,"5, 67",149,"m,f",STEM,"[['experience', 28.51], ['learning', 14.91], ['stem', 12.28], ['hand', 9.65], ['unique', 8.33], ['combine', 7.89], ['age', 6.58], ['develop', 4.39], ['imagination', 3.95], ['dynamic', 3.51]]",Computer Science,60.25,82.32
652,Challenge Island Santa Cruz/San Jose,Multiple Locations,Engineering Crafts Online Course,https://images.activityhero.com/provider_photo/111643/tile/f52999df-4165-4125-87d0-e6cf8278a6ef.jpg,"Challenge Island is an international educational franchise on the forefront of S.T.E.A.M. (Science, Technology, Engineering, Art, and Math) Education and…read more >",https://www.activityhero.com/biz/challenge-island-santa-cruz-san-jose,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",68.3,",68",2028,"m,f",STEM,"[['educational', 21.05], ['provide', 15.79], ['engineering', 11.84], ['science_technology', 9.87], ['international', 8.55], ['challenge', 8.55], ['steam', 7.89], ['service', 5.92], ['tutoring', 5.26], ['people', 5.26]]",Math & Logic,81.75,28.55
653,Solaris Pediatric Therapy,Multiple Locations,Online Course Yoga Academic Writing,https://images.activityhero.com/provider_photo/120017/tile/1b46702f-c534-4d30-baf3-0c7a4df585f6.jpg,We help children develop the skills they need to engage in day to day activities and to be comfortable in typical social environments. The child’s…read more >,https://www.activityhero.com/biz/solaris-pediatric-therapy,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",76,"5,68",54,"m,f",Sports,"[['skill', 32.8], ['develop', 18.52], ['creativity', 14.81], ['social', 7.94], ['chess', 7.94], ['approach', 4.76], ['thinking', 3.7], ['global', 3.7], ['problem', 3.17], ['passion', 2.65]]",Personal Development,65.58,7.58
